tahun,topic_id,n_docs,n_total,proporsi,label_topik
2019,17,14,971,0.014418125643666324,Topik_17
2019,18,11,971,0.01132852729145211,Topik_18
2019,19,13,971,0.013388259526261586,Topik_19
2019,20,12,971,0.012358393408856848,Topik_20
2019,21,17,971,0.017507723995880537,Topik_21
2019,22,1,971,0.0010298661174047373,Topik_22
2019,24,7,971,0.007209062821833162,Topik_24
2019,25,17,971,0.017507723995880537,Topik_25
2019,26,6,971,0.006179196704428424,Topik_26
2019,27,11,971,0.01132852729145211,Topik_27
2019,28,8,971,0.008238928939237899,Topik_28
2019,29,3,971,0.003089598352214212,Topik_29
2019,30,11,971,0.01132852729145211,Topik_30
2019,31,7,971,0.007209062821833162,Topik_31
2019,32,5,971,0.005149330587023687,Topik_32
2019,33,10,971,0.010298661174047374,Topik_33
2019,34,6,971,0.006179196704428424,Topik_34
2019,35,9,971,0.009268795056642637,Topik_35
2019,36,10,971,0.010298661174047374,Topik_36
2019,37,7,971,0.007209062821833162,Topik_37
2019,38,9,971,0.009268795056642637,Topik_38
2019,39,6,971,0.006179196704428424,Topik_39
2019,40,8,971,0.008238928939237899,Topik_40
2019,41,6,971,0.006179196704428424,Topik_41
2019,42,4,971,0.004119464469618949,Topik_42
2019,43,5,971,0.005149330587023687,Topik_43
2019,44,7,971,0.007209062821833162,Topik_44
2019,45,3,971,0.003089598352214212,Topik_45
2019,46,4,971,0.004119464469618949,Topik_46
2019,47,5,971,0.005149330587023687,Topik_47
2019,48,5,971,0.005149330587023687,Topik_48
2019,49,5,971,0.005149330587023687,Topik_49
2019,50,4,971,0.004119464469618949,Topik_50
2019,51,10,971,0.010298661174047374,Topik_51
2019,52,5,971,0.005149330587023687,Topik_52
2019,53,6,971,0.006179196704428424,Topik_53
2019,54,2,971,0.0020597322348094747,Topik_54
2019,55,8,971,0.008238928939237899,Topik_55
2019,56,7,971,0.007209062821833162,Topik_56
2019,57,7,971,0.007209062821833162,Topik_57
2019,58,8,971,0.008238928939237899,Topik_58
2019,59,14,971,0.014418125643666324,Topik_59
2019,60,7,971,0.007209062821833162,Topik_60
2019,61,3,971,0.003089598352214212,Topik_61
2019,62,4,971,0.004119464469618949,Topik_62
2019,63,10,971,0.010298661174047374,Topik_63
2019,64,3,971,0.003089598352214212,Topik_64
2019,65,3,971,0.003089598352214212,Topik_65
2019,66,3,971,0.003089598352214212,Topik_66
2019,69,3,971,0.003089598352214212,Topik_69
2019,70,6,971,0.006179196704428424,Topik_70
2019,71,4,971,0.004119464469618949,Topik_71
2019,72,7,971,0.007209062821833162,Topik_72
2019,73,4,971,0.004119464469618949,Topik_73
2019,75,5,971,0.005149330587023687,Topik_75
2019,76,7,971,0.007209062821833162,Topik_76
2019,77,2,971,0.0020597322348094747,Topik_77
2019,78,4,971,0.004119464469618949,Topik_78
2019,79,5,971,0.005149330587023687,Topik_79
2019,80,4,971,0.004119464469618949,Topik_80
2019,81,2,971,0.0020597322348094747,Topik_81
2019,82,2,971,0.0020597322348094747,Topik_82
2019,83,3,971,0.003089598352214212,Topik_83
2019,84,1,971,0.0010298661174047373,Topik_84
2019,85,3,971,0.003089598352214212,Topik_85
2019,86,4,971,0.004119464469618949,Topik_86
2019,87,2,971,0.0020597322348094747,Topik_87
2019,88,3,971,0.003089598352214212,Topik_88
2019,89,7,971,0.007209062821833162,Topik_89
2019,90,4,971,0.004119464469618949,Topik_90
2019,91,4,971,0.004119464469618949,Topik_91
2019,92,17,971,0.017507723995880537,Topik_92
2019,93,2,971,0.0020597322348094747,Topik_93
2019,94,4,971,0.004119464469618949,Topik_94
2019,95,6,971,0.006179196704428424,Topik_95
2019,96,6,971,0.006179196704428424,Topik_96
2019,97,2,971,0.0020597322348094747,Topik_97
2019,98,2,971,0.0020597322348094747,Topik_98
2019,100,1,971,0.0010298661174047373,Topik_100
2019,102,1,971,0.0010298661174047373,Topik_102
2019,103,4,971,0.004119464469618949,Topik_103
2019,104,2,971,0.0020597322348094747,Topik_104
2020,0,76,870,0.08735632183908046,Topik_0
2020,1,29,870,0.03333333333333333,Topik_1
2020,2,33,870,0.03793103448275862,Topik_2
2020,3,58,870,0.06666666666666667,Topik_3
2020,4,22,870,0.02528735632183908,Topik_4
2020,5,23,870,0.026436781609195402,Topik_5
2020,6,7,870,0.008045977011494253,Topik_6
2020,7,13,870,0.014942528735632184,Topik_7
2020,8,13,870,0.014942528735632184,Topik_8
2020,9,20,870,0.022988505747126436,Topik_9
2020,10,15,870,0.017241379310344827,Topik_10
2020,11,19,870,0.021839080459770115,Topik_11
2020,12,24,870,0.027586206896551724,Topik_12
2020,13,10,870,0.011494252873563218,Topik_13
2020,14,10,870,0.011494252873563218,Topik_14
2020,15,16,870,0.01839080459770115,Topik_15
2020,16,11,870,0.01264367816091954,Topik_16
2020,17,13,870,0.014942528735632184,Topik_17
2020,18,14,870,0.016091954022988506,Topik_18
2020,19,12,870,0.013793103448275862,Topik_19
2020,20,8,870,0.009195402298850575,Topik_20
2020,21,11,870,0.01264367816091954,Topik_21
2020,22,2,870,0.0022988505747126436,Topik_22
2020,23,3,870,0.0034482758620689655,Topik_23
2020,24,13,870,0.014942528735632184,Topik_24
2020,25,8,870,0.009195402298850575,Topik_25
2020,26,5,870,0.005747126436781609,Topik_26
2020,27,28,870,0.03218390804597701,Topik_27
2020,28,3,870,0.0034482758620689655,Topik_28
2020,29,7,870,0.008045977011494253,Topik_29
2020,30,11,870,0.01264367816091954,Topik_30
